Id;Postcode;Woonplaats;Gemeente;Provincie;Postcode_Coordinaat_X;Postcode_Coordinaat_Y;Plaats_Coordinaat_X;Plaats_Coordinaat_Y;Postcode_Lengtegraad;Postcode_Breedtegraad;Plaats_Lengtegraad;Plaats_Breedtegraad;Postcode_Locatie;Plaats_Locatie
1434;7115;Winterswijk Brinkheurne;Winterswijk;Gelderland;248881,8379;441426,25;248881,8379;441426,25;6,753055315;51,95329758;6,753055315;51,95329758;0xE6100000010C6EA301BC05FA4940FAB31F2922031B40;0xE6100000010C6EA301BC05FA4940FAB31F2922031B40
1435;7123;Aalten;Aalten;Gelderland;237769,9296;437271,7723;236481,0963;438041,997;6,59035451;51,91774488;6,571385105;51,92523869;0xE6100000010C05C58F3177F549403FC6DCB5845C1A40;0xE6100000010C2D211FF46CF64940B70BCD751A491A40
1436;7131;Lichtenvoorde;Oost Gelre;Gelderland;235994,2411;445600,3815;235994,2411;445600,3815;6,56618573;51,99287733;6,56618573;51,99287733;0xE6100000010C6519E25817FF4940F949B54FC7431A40;0xE6100000010C6519E25817FF4940F949B54FC7431A40
1437;7132;Lichtenvoorde;Oost Gelre;Gelderland;235216,7102;444197,7107;235994,2411;445600,3815;6,554822935;51,9804234;6,56618573;51,99287733;0xE6100000010CCC7F48BF7DFD4940B9AAECBB22381A40;0xE6100000010C6519E25817FF4940F949B54FC7431A40
1438;7134;Vragender;Oost Gelre;Gelderland;239480,651;444844,9069;239480,651;444844,9069;6,617297735;51,98547736;6,617297735;51,98547736;0xE6100000010CA01A2FDD24FE49408048BF7D1D781A40;0xE6100000010CA01A2FDD24FE49408048BF7D1D781A40
1439;7142;Groenlo;Oost Gelre;Gelderland;241965,1357;450438,0998;240750,8703;450612,329;6,6545473;52,0355695;6,63706489;52,03733022;0xE6100000010C6ADE718A8E044A402063EE5A429E1A40;0xE6100000010C0612143FC6044A40EA5BE674598C1A40
1440;7201;Zutphen;Zutphen;Gelderland;210495,4977;461667,9079;211171,6235;460685,6568;6,197946405;52,1404126;6,207640495;52,13148407;0xE6100000010CE02D90A0F8114A4009F9A067B3CA1840;0xE6100000010C46B6F3FDD4104A40A25D85949FD41840
1441;7202;Zutphen;Zutphen;Gelderland;210676,5742;463224,0145;211171,6235;460685,6568;6,200789325;52,15439099;6,207640495;52,13148407;0xE6100000010C4F401361C3134A409274CDE49BCD1840;0xE6100000010C46B6F3FDD4104A40A25D85949FD41840
1442;7205;Zutphen;Zutphen;Gelderland;208264,8855;462056,759;211171,6235;460685,6568;6,165384685;52,14413507;6,207640495;52,13148407;0xE6100000010C43AD69DE71124A4061A6ED5F59A91840;0xE6100000010C46B6F3FDD4104A40A25D85949FD41840
1443;7206;Zutphen;Zutphen;Gelderland;210803,8033;460105,9773;211171,6235;460685,6568;6,202117665;52,12640095;6,207640495;52,13148407;0xE6100000010C711B0DE02D104A405778978BF8CE1840;0xE6100000010C46B6F3FDD4104A40A25D85949FD41840
1444;7213;Gorssel;Lochem;Gelderland;211096,5195;467711,0723;211096,5195;467711,0723;6,2076127;52,19473518;6,2076127;52,19473518;0xE6100000010CFE43FAEDEB184A404D4A41B797D41840;0xE6100000010CFE43FAEDEB184A404D4A41B797D41840
1445;7215;Joppe;Lochem;Gelderland;213427,8202;468702,855;213427,8202;468702,855;6,24204664;52,20324809;6,24204664;52,20324809;0xE6100000010C0B462575021A4A40B9FC87F4DBF71840;0xE6100000010C0B462575021A4A40B9FC87F4DBF71840
1446;6027;Soerendonk;Cranendonck;Noord-Brabant;168440,753;368703,7028;168440,753;368703,7028;5,579930235;51,30745392;5,579930235;51,30745392;0xE6100000010C8FC2F5285CA749408BE07F2BD9511640;0xE6100000010C8FC2F5285CA749408BE07F2BD9511640
1447;6044;Roermond;Roermond;Limburg;198618,3923;354787,4578;198422,2799;356050,0177;6,01100838;51,18082702;6,008291485;51,19211572;0xE6100000010CF38E53742497494041B79734460B1840;0xE6100000010CE3C798BB969849400D897B2C7D081840
1448;6061;Posterholt;Roerdalen;Limburg;200461,1965;347988,35;200461,1965;347988,35;6,03651204;51,11959447;6,03651204;51,11959447;0xE6100000010C014D840D4F8F494068E89FE062251840;0xE6100000010C014D840D4F8F494068E89FE062251840
1449;6075;Herkenbosch;Roerdalen;Limburg;205222,243;353348,0256;205222,243;353348,0256;6,10533083;51,16725747;6,10533083;51,16725747;0xE6100000010C764F1E166A9549409626A5A0DB6B1840;0xE6100000010C764F1E166A9549409626A5A0DB6B1840
1450;6085;Horn;Leudal;Limburg;192997,445;358605,6637;192997,445;358605,6637;5,931022915;51,21552485;5,931022915;51,21552485;0xE6100000010CDD240681959B49400CB08F4E5DB91740;0xE6100000010CDD240681959B49400CB08F4E5DB91740
1451;6096;Grathem;Leudal;Limburg;187644,0375;356721,1769;187644,0375;356721,1769;5,854178535;51,19894222;5,854178535;51,19894222;0xE6100000010C5396218E75994940D1967329AE6A1740;0xE6100000010C5396218E75994940D1967329AE6A1740
1452;6101;Echt;Echt-Susteren;Limburg;188495,4486;346882,4565;189667,0871;346036,807;5,865538345;51,11042179;5,882058185;51,10275617;0xE6100000010C3CBD5296218E4940F584251E50761740;0xE6100000010CB003E78C288D4940657094BC3A871740
1453;6109;Ohe en Laak;Maasgouw;Limburg;186197,7568;347366,7944;186197,7568;347366,7944;5,83271859;51,11494114;5,83271859;51,11494114;0xE6100000010CBB270F0BB58E494086E63A8DB4541740;0xE6100000010CBB270F0BB58E494086E63A8DB4541740
1454;6116;Roosteren;Echt-Susteren;Limburg;185004,3827;342991,2199;185004,3827;342991,2199;5,81542379;51,07573566;5,81542379;51,07573566;0xE6100000010C5227A089B08949406C04E275FD421740;0xE6100000010C5227A089B08949406C04E275FD421740
1455;6121;Born;Sittard-Geleen;Limburg;185185,7268;339175,3865;185185,7268;339175,3865;5,81747386;51,04141492;5,81747386;51,04141492;0xE6100000010CF7065F984C85494030D80DDB16451740;0xE6100000010CF7065F984C85494030D80DDB16451740
1456;6124;Papenhoven;Sittard-Geleen;Limburg;182996,7948;339126,1579;182996,7948;339126,1579;5,78640455;51,04105197;5,78640455;51,04105197;0xE6100000010CCCEEC9C342854940304CA60A46251740;0xE6100000010CCCEEC9C342854940304CA60A46251740
1457;6131;Sittard;Sittard-Geleen;Limburg;188565,5779;334480,897;188543,2222;335117,4;5,865338095;50,9989919;5,865008135;51,00467314;0xE6100000010C1D5A643BDF7F4940BCAE5FB01B761740;0xE6100000010C462575029A80494012DA722EC5751740
1458;6142;Einighausen;Sittard-Geleen;Limburg;186019,6579;334620,5845;186019,6579;334620,5845;5,829085265;51,00039281;5,829085265;51,00039281;0xE6100000010C8E75711B0D80494037C30DF8FC501740;0xE6100000010C8E75711B0D80494037C30DF8FC501740
1459;6143;Guttecoven;Sittard-Geleen;Limburg;185145,1037;335565,1111;185145,1037;335565,1111;5,81670505;51,00894211;5,81670505;51,00894211;0xE6100000010C9A779CA223814940BF4351A04F441740;0xE6100000010C9A779CA223814940BF4351A04F441740
1460;6161;Geleen;Sittard-Geleen;Limburg;184715,904;330380,4761;185003,4167;332398,2114;5,81017771;50,96233464;5,81447861;50,98046975;0xE6100000010C6C787AA52C7B49403D7E6FD39F3D1740;0xE6100000010C2FDD2406817D4940FCFB8C0B07421740
1461;6167;Geleen;Sittard-Geleen;Limburg;183937,7541;333419,3565;185003,4167;332398,2114;5,79934286;50,98969266;5,81447861;50,98046975;0xE6100000010CF46C567DAE7E4940DF89592F86321740;0xE6100000010C2FDD2406817D4940FCFB8C0B07421740
1462;6174;Sweikhuizen;Schinnen;Limburg;187603,95;329612,75;187603,95;329612,75;5,85117238;50,9553049;5,85117238;50,9553049;0xE6100000010C35EF3845477A49406458C51B99671740;0xE6100000010C35EF3845477A49406458C51B99671740
1463;6176;Spaubeek;Beek;Limburg;186800,804;327694,3143;186800,804;327694,3143;5,83961838;50,93809094;5,83961838;50,93809094;0xE6100000010C55302AA91378494024456458C55B1740;0xE6100000010C55302AA91378494024456458C55B1740
1464;6211;Maastricht;Maastricht;Limburg;176238,4505;317866,3659;176902,4882;318363,6865;5,688776895;50,85023993;5,6982391;50,85464505;0xE6100000010C9487855AD36C4940378E588B4FC11640;0xE6100000010CAF946588636D49404209336DFFCA1640
1465;6214;Maastricht;Maastricht;Limburg;175089,9971;317300,7136;176902,4882;318363,6865;5,67242822;50,84519883;5,6982391;50,85464505;0xE6100000010C234A7B832F6C4940AA656B7D91B01640;0xE6100000010CAF946588636D49404209336DFFCA1640
1466;6215;Maastricht;Maastricht;Limburg;173601,8757;316815,4385;176902,4882;318363,6865;5,65129167;50,84089511;5,6982391;50,85464505;0xE6100000010C6B9A779CA26B4940EDD808C4EB9A1640;0xE6100000010CAF946588636D49404209336DFFCA1640
1467;6216;Maastricht;Maastricht;Limburg;173982,992;317731,4982;176902,4882;318363,6865;5,656746565;50,84911493;5,6982391;50,85464505;0xE6100000010C4D840D4FAF6C49408D976E1283A01640;0xE6100000010CAF946588636D49404209336DFFCA1640
1468;6219;Maastricht;Maastricht;Limburg;175862,3905;319834,9323;176902,4882;318363,6865;5,68354096;50,8679611;5,6982391;50,85464505;0xE6100000010CC976BE9F1A6F49400708E6E8F1BB1640;0xE6100000010CAF946588636D49404209336DFFCA1640
1469;6224;Maastricht;Maastricht;Limburg;177909,9334;317978,9332;176902,4882;318363,6865;5,712496945;50,85118657;5,6982391;50,85464505;0xE6100000010C772D211FF46C49409A99999999D91640;0xE6100000010CAF946588636D49404209336DFFCA1640
1470;6229;Maastricht;Maastricht;Limburg;177739,1296;314993,2075;176902,4882;318363,6865;5,709870215;50,82436274;5,6982391;50,85464505;0xE6100000010C44696FF08569494065A54929E8D61640;0xE6100000010CAF946588636D49404209336DFFCA1640
1471;6231;Meerssen;Meerssen;Limburg;180866,9206;322289,5164;181245,1606;322009,6924;5,754870165;50,88978357;5,76022516;50,88724967;0xE6100000010C8BFD65F7E471494014ED2AA4FC041740;0xE6100000010C6F8104C58F71494098C0ADBB790A1740
1472;6245;Eijsden;Eijsden-Margraten;Limburg;178331,5075;310116,6667;178331,5075;310116,6667;5,71792414;50,78055163;5,71792414;50,78055163;0xE6100000010CF9A067B3EA634940C993A46B26DF1640;0xE6100000010CF9A067B3EA634940C993A46B26DF1640
1473;6251;Eckelrade;Eijsden-Margraten;Limburg;181814,4923;313358,173;181814,4923;313215,4845;5,767582845;50,80950779;5,767582845;50,80821746;0xE6100000010C560E2DB29D6749403541D47D00121740;0xE6100000010C4850FC18736749403541D47D00121740
1474;6255;Noorbeek;Eijsden-Margraten;Limburg;185570,3086;309386,6622;185570,3086;309386,6622;5,820516475;50,77355887;5,820516475;50,77355887;0xE6100000010CC2172653056349400EDB166536481740;0xE6100000010CC2172653056349400EDB166536481740
1475;6262;Banholt;Eijsden-Margraten;Limburg;184818,4918;311383,2303;184818,4918;311383,2303;5,810066815;50,79157891;5,810066815;50,79157891;0xE6100000010CBEC117265365494004E275FD823D1740;0xE6100000010CBEC117265365494004E275FD823D1740
1476;6265;Sint Geertruid;Eijsden-Margraten;Limburg;182554,4502;311303,7512;182554,4502;311303,7512;5,77796377;50,79098061;5,77796377;50,79098061;0xE6100000010C6891ED7C3F6549407862D68BA11C1740;0xE6100000010C6891ED7C3F6549407862D68BA11C1740
1477;6271;Gulpen;Gulpen-Wittem;Limburg;190066,2608;312627,2996;190066,2608;312627,2996;5,884560985;50,80245512;5,884560985;50,80245512;0xE6100000010C1F85EB51B86649402766BD18CA891740;0xE6100000010C1F85EB51B86649402766BD18CA891740
1478;6281;Mechelen;Gulpen-Wittem;Limburg;192696,2725;311183,6863;192696,2725;311183,6863;5,921818005;50,78925656;5,921818005;50,78925656;0xE6100000010CCC5D4BC807654940E4310395F1AF1740;0xE6100000010CCC5D4BC807654940E4310395F1AF1740
1479;6286;Wittem;Gulpen-Wittem;Limburg;193559,5871;313919,4101;193559,5871;313919,4101;5,934296015;50,81386307;5,934296015;50,81386307;0xE6100000010C711B0DE02D684940789CA223B9BC1740;0xE6100000010C711B0DE02D684940789CA223B9BC1740
1480;6305;Schin op Geul;Valkenburg aan de Geul;Limburg;188775,885;317680,273;188775,885;317680,273;5,866744815;50,84800949;5,866744815;50,84800949;0xE6100000010C068195438B6C4940488AC8B08A771740;0xE6100000010C068195438B6C4940488AC8B08A771740
1481;6336;Hulsberg;Nuth;Limburg;187910,309;322879,1705;187910,309;322879,1705;5,85492101;50,89479275;5,85492101;50,89479275;0xE6100000010CFB3A70CE8872494008C90226706B1740;0xE6100000010CFB3A70CE8872494008C90226706B1740
1482;6342;Walem;Valkenburg aan de Geul;Limburg;188746,6961;319477,5375;188852,5459;319477,5375;5,866525395;50,86412318;5,86800511;50,86412318;0xE6100000010C9F3C2CD49A6E4940F302ECA353771740;0xE6100000010C9F3C2CD49A6E494062670A9DD7781740
1483;6343;Klimmen;Voerendaal;Limburg;190504,8884;321170,7137;190504,8884;321170,7137;5,89174761;50,87921564;5,89174761;50,87921564;0xE6100000010C545227A089704940FED478E926911740;0xE6100000010C545227A089704940FED478E926911740
1484;6365;Schinnen;Schinnen;Limburg;190008,3594;327981,5;190008,3594;327981,5;5,88524348;50,94049311;5,88524348;50,94049311;0xE6100000010CAAF1D24D62784940B471C45A7C8A1740;0xE6100000010CAAF1D24D62784940B471C45A7C8A1740
1485;6367;Voerendaal;Voerendaal;Limburg;193096,0455;320308,7238;193096,0455;320308,7238;5,92815945;50,87140798;5,92815945;50,87140798;0xE6100000010C01DE02098A6F49404AD235936FB61740;0xE6100000010C01DE02098A6F49404AD235936FB61740
1486;7216;Kring van Dorth;Lochem;Gelderland;219285,158;471635,6488;219285,158;471635,6488;6,328201465;52,22879336;6,328201465;52,22879336;0xE6100000010C93A98251491D4A4055302AA913501940;0xE6100000010C93A98251491D4A4055302AA913501940
1487;7217;Harfsen;Lochem;Gelderland;216843,1416;467946,1502;216843,1416;467946,1502;6,2915767;52,1959701;6,2915767;52,1959701;0xE6100000010C0C022B8716194A40B4AB90F2932A1940;0xE6100000010C0C022B8716194A40B4AB90F2932A1940
1488;7233;Vierakker;Bronckhorst;Gelderland;213599,6961;457385,6491;213599,6961;457385,6491;6,242436625;52,10157046;6,242436625;52,10157046;0xE6100000010C05A3923A010D4A400EF8FC3042F81840;0xE6100000010C05A3923A010D4A400EF8FC3042F81840
1489;7244;Barchem;Lochem;Gelderland;227064,6916;459917,942;227064,6916;459917,942;6,43962463;52,12284892;6,43962463;52,12284892;0xE6100000010C72F90FE9B70F4A408AABCABE2BC21940;0xE6100000010C72F90FE9B70F4A408AABCABE2BC21940
1490;7256;Keijenborg;Bronckhorst;Gelderland;217296,4146;449520,3168;217296,4146;449520,3168;6,29491808;52,03053469;6,29491808;52,03053469;0xE6100000010C96438B6CE7034A40CBBE2B82FF2D1940;0xE6100000010C96438B6CE7034A40CBBE2B82FF2D1940
1491;7263;Marienvelde;Oost Gelre;Gelderland;229813,4429;447336,5793;229813,4429;447336,5793;6,4770597;52,00933818;6,4770597;52,00933818;0xE6100000010C29ED0DBE30014A4046EBA86A82E81940;0xE6100000010C29ED0DBE30014A4046EBA86A82E81940
1492;7274;Geesteren;Berkelland;Gelderland;232352,461;461937,0595;232352,461;461937,0595;6,5171543;52,14020391;6,5171543;52,14020391;0xE6100000010C1973D712F2114A406F8104C58F111A40;0xE6100000010C1973D712F2114A406F8104C58F111A40
1493;7275;Gelselaar;Berkelland;Gelderland;232788,6495;464937,9425;232788,6495;464937,9425;6,524404845;52,16702349;6,524404845;52,16702349;0xE6100000010C4C37894160154A40F0164850FC181A40;0xE6100000010C4C37894160154A40F0164850FC181A40
1494;7315;Apeldoorn;Apeldoorn;Gelderland;193021,6294;471368,7013;195454,977;469401,3552;5,94378622;52,22901762;5,979090815;52,21120078;0xE6100000010C5A643BDF4F1D4A40D82AC1E270C61740;0xE6100000010C2575029A081B4A40D15CA79196EA1740
1495;7328;Apeldoorn;Apeldoorn;Gelderland;196177,2013;468321,9798;195454,977;469401,3552;5,98960753;52,20150604;5,979090815;52,21120078;0xE6100000010C6F1283C0CA194A40A12DE7525CF51740;0xE6100000010C2575029A081B4A40D15CA79196EA1740
1496;7335;Apeldoorn;Apeldoorn;Gelderland;193725,5698;467959,1462;195454,977;469401,3552;5,953582065;52,19838871;5,979090815;52,21120078;0xE6100000010C61C3D32B65194A408D7A884677D01740;0xE6100000010C2575029A081B4A40D15CA79196EA1740
1497;7341;Beemte Broekland;Apeldoorn;Gelderland;197245,0259;473897,7991;197245,0259;473897,7991;6,00596409;52,25150311;6,00596409;52,25150311;0xE6100000010CD578E92631204A402E56D4601A061840;0xE6100000010CD578E92631204A402E56D4601A061840
1498;7361;Beekbergen;Apeldoorn;Gelderland;195341,6267;461273,8223;195341,6267;461273,8223;5,976634825;52,13824618;5,976634825;52,13824618;0xE6100000010C5227A089B0114A40802BD9B111E81740;0xE6100000010C5227A089B0114A40802BD9B111E81740
1499;7371;Loenen;Apeldoorn;Gelderland;197669,1182;458569,7421;197669,1182;458569,7421;6,01018676;52,11367069;6,01018676;52,11367069;0xE6100000010C11C7BAB88D0E4A4026FC523F6F0A1840;0xE6100000010C11C7BAB88D0E4A4026FC523F6F0A1840
1500;7381;Klarenbeek;Apeldoorn;Gelderland;198960,0995;464944,53;198960,0995;464944,53;6,029825875;52,17088361;6,029825875;52,17088361;0xE6100000010C76711B0DE0154A403BC269C18B1E1840;0xE6100000010C76711B0DE0154A403BC269C18B1E1840
1501;7382;Klarenbeek;Voorst;Gelderland;202053,3243;465163,624;202053,3243;465163,624;6,075098795;52,17263663;6,075098795;52,17263663;0xE6100000010C12A5BDC117164A40E9B7AF03E74C1840;0xE6100000010C12A5BDC117164A40E9B7AF03E74C1840
1502;7384;Wilp;Voorst;Gelderland;204772,5009;470453,9673;204772,5009;470506,5813;6,11551911;52,21991606;6,11551911;52,22039163;0xE6100000010CF931E6AE251C4A40BC22F8DF4A761840;0xE6100000010CEA043411361C4A40BC22F8DF4A761840
1503;7392;Twello;Voorst;Gelderland;205127,7221;472188,2728;204092,0462;472685,5674;6,121050235;52,23547268;6,10601332;52,24005595;0xE6100000010CA01A2FDD241E4A4024B9FC87F47B1840;0xE6100000010C82E2C798BB1E4A402332ACE28D6C1840
1504;7396;Terwolde;Voorst;Gelderland;202206,9687;476989,5949;202206,9687;476989,5949;6,078579585;52,2790112;6,078579585;52,2790112;0xE6100000010CC1CAA145B6234A408D7A884677501840;0xE6100000010CC1CAA145B6234A408D7A884677501840
1505;7424;Deventer;Deventer;Overijssel;211753,4368;475279,3335;210476,3684;473919,7037;6,218566255;52,26260546;6,199696555;52,25081144;0xE6100000010CFDF675E09C214A40008C67D0D0DF1840;0xE6100000010C1CEBE2361A204A40780B24287ECC1840
